open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1610431200000,36060.5,36615.1,35714.0,36433.4,44.903,1610438399999,1613561.7826,342,28.416,1019287.8692,0
1610438400000,36453.3,36496.1,35482.2,35935.4,64.669,1610445599999,2323403.1498,698,30.793,1105833.6597,0
1610445600000,35924.4,36105.7,34790.7,35369.2,55.762,1610452799999,1970797.8244,617,28.08,990679.6697,0
1610452800000,35350.9,35861.0,33214.4,33214.4,64.314,1610459999999,2238783.4084,774,29.858,1042971.1009,0
1610460000000,33320.2,34269.0,32520.4,33796.1,88.874,1610467199999,2978269.3152,990,41.15,1379001.2032,0
1610467200000,33798.1,35301.1,33798.1,34973.8,65.589,1610474399999,2276119.5465,780,36.507,1267052.0043,0
1610474400000,34952.9,35506.6,34137.5,34648.8,63.729,1610481599999,2221344.2393,759,24.87,868787.7172,0
1610481600000,34581.7,34828.7,33544.7,34661.3,74.125,1610488799999,2530826.0237,858,39.476,1348784.9357,0
1610488800000,34653.5,35180.3,33272.8,34021.1,74.958,1610495999999,2547328.3989,988,43.923,1495186.3176,0
1610496000000,33877.8,33878.2,32346.7,33070.7,66.801,1610503199999,2201344.8143,822,27.95,921434.3515,0
1610503200000,33064.1,34318.8,32542.6,33764.7,67.93,1610510399999,2269348.2788,940,34.31,1149497.8449,0
1610510400000,33813.9,33862.8,32743.0,33269.1,64.914,1610517599999,2160574.6911,821,30.023,999777.1473,0
1610517600000,33267.0,35116.0,33189.8,34938.4,60.964,1610524799999,2078168.4259,794,26.628,907655.275,0
1610524800000,34951.6,35054.7,34173.2,34303.4,66.484,1610531999999,2303384.6818,813,23.236,804988.8166,0
1610532000000,34337.8,35241.3,34236.1,34312.1,67.783,1610539199999,2353036.417,889,31.776,1104114.1422,0
1610539200000,34403.6,34732.7,33932.5,34529.1,63.109,1610546399999,2166794.7289,874,33.617,1154345.0265,0
1610546400000,34556.4,35052.0,34184.9,34605.3,62.794,1610553599999,2171221.9061,781,31.952,1105398.1616,0
1610553600000,34652.4,35000.0,34396.9,34774.2,62.155,1610560799999,2155367.9956,734,26.049,903081.7157,0
1610560800000,34785.1,36147.5,34695.5,35966.2,67.686,1610567999999,2409740.1324,962,38.957,1387756.3674,0
1610568000000,35999.7,37344.3,35660.2,37237.5,75.323,1610575199999,2734402.9137,1090,36.146,1311198.1336,0
1610575200000,37259.5,37763.5,36863.7,37355.7,69.516,1610582399999,2595070.1471,884,27.598,1030870.4033,0
1610582400000,37451.4,38144.7,37376.2,37413.6,64.979,1610589599999,2448172.8619,864,32.093,1208958.5167,0
1610589600000,37414.6,37644.6,36980.0,37024.3,57.112,1610596799999,2132388.6244,700,28.63,1069085.3888,0
1610596800000,37049.4,37742.1,36615.4,37503.1,61.368,1610603999999,2291056.6096,753,34.024,1270520.0602,0
1610604000000,37541.9,38534.1,37450.0,38212.5,78.54,1610611199999,2987885.7282,1046,37.93,1444956.5907,0
1610611200000,38216.9,38757.0,37952.4,37957.1,62.771,1610618399999,2409401.2922,864,31.937,1226267.0649,0
1610618400000,37898.9,38579.7,37898.9,38341.1,66.308,1610625599999,2534291.8263,807,31.641,1210153.3476,0
1610625600000,38294.4,38999.2,37693.5,38999.2,73.649,1610632799999,2824096.1632,975,33.528,1287152.9958,0
1610632800000,39000.0,40132.9,38771.6,39486.4,97.275,1610639999999,3840564.2163,1498,39.641,1564712.8583,0
1610640000000,39510.0,39955.0,39119.2,39386.1,65.689,1610647199999,2601601.7997,901,25.057,992265.4041,0
1610647200000,39386.6,39868.4,39221.7,39790.7,58.799,1610654399999,2322297.304,821,23.83,940957.5268,0
1610654400000,39788.2,39870.6,38226.0,38748.7,88.513,1610661599999,3451799.6448,1400,41.826,1629931.6234,0
1610661600000,38735.1,39262.8,38327.3,39091.6,93.725,1610668799999,3641010.5474,1439,41.399,1609258.9927,0
1610668800000,39164.4,39703.3,38965.3,39092.9,83.007,1610675999999,3270308.9771,1273,32.841,1293418.3689,0
1610676000000,39091.8,39424.9,38406.8,38635.9,92.134,1610683199999,3588373.1305,1391,48.761,1899194.4618,0
1610683200000,38632.0,38797.0,37761.3,37775.6,106.661,1610690399999,4099984.8048,1727,50.568,1944254.5177,0
1610690400000,37750.0,38443.8,37536.2,38409.9,140.212,1610697599999,5329299.0395,2268,69.298,2634783.3846,0
1610697600000,38415.2,38666.6,37999.5,38630.5,105.336,1610704799999,4038146.7113,1652,50.518,1936166.9487,0
1610704800000,38642.8,38790.0,37893.0,38018.7,107.253,1610711999999,4111662.271,1667,54.004,2072107.5745,0
1610712000000,38051.5,38142.2,37174.3,37640.8,175.978,1610719199999,6613510.1824,2773,83.981,3155885.8894,0
1610719200000,37637.7,37717.8,34993.3,35530.4,272.339,1610726399999,9908584.0177,4201,134.033,4884176.7494,0
1610726400000,35530.4,36300.0,34362.0,35950.3,467.144,1610733599999,16597792.5341,8745,220.315,7829521.58,0
1610733600000,35923.0,36443.2,34768.6,35184.0,318.664,1610740799999,11326087.005,5712,153.914,5472479.0493,0
1610740800000,35108.4,36388.8,34800.0,36216.4,282.079,1610747999999,10010753.1048,4868,135.47,4807047.4463,0
1610748000000,36239.8,36937.4,35911.4,36737.6,131.899,1610755199999,4814465.0568,1778,71.965,2626299.2452,0
1610755200000,36739.0,37632.5,36739.0,37005.1,159.34,1610762399999,5933040.9666,1974,83.422,3106027.5749,0
1610762400000,37005.0,37218.5,35992.1,36515.5,149.899,1610769599999,5473140.0634,1907,68.107,2486094.8734,0
1610769600000,36538.4,36657.7,35522.9,35847.4,132.235,1610776799999,4767780.4068,1667,61.842,2229873.7705,0
1610776800000,35850.0,36964.2,35811.4,36567.0,144.68,1610783999999,5260336.3671,1785,63.618,2314017.3848,0
1610784000000,36581.3,37643.5,36395.4,37416.6,152.887,1610791199999,5682122.9455,1958,72.499,2692736.3342,0
1610791200000,37450.0,38149.1,37150.0,37677.8,125.94,1610798399999,4736753.029,1594,63.336,2385557.4375,0
1610798400000,37693.5,37889.7,36781.9,37160.7,131.408,1610805599999,4905396.6392,1892,54.682,2042035.5682,0
1610805600000,37159.5,37719.0,36676.5,37452.7,122.836,1610812799999,4569897.0007,1742,55.126,2053343.9746,0
1610812800000,37474.0,37719.0,36835.0,36884.7,125.631,1610819999999,4670090.8217,1643,48.464,1802350.1171,0
1610820000000,36877.5,37163.6,36105.0,36380.1,147.778,1610827199999,5408937.1764,1966,62.522,2287137.8653,0
1610827200000,36384.3,36783.1,35708.5,35916.8,129.342,1610834399999,4695289.384,1714,60.643,2202893.0455,0
1610834400000,35917.1,36465.1,35299.7,35975.0,126.098,1610841599999,4537509.6767,1736,61.42,2210647.1515,0
1610841600000,35990.6,36769.8,35549.1,36713.9,143.217,1610848799999,5176766.755,1752,78.044,2824013.4619,0
1610848800000,36730.8,36737.7,35985.0,36189.5,93.935,1610855999999,3416309.6984,1168,49.566,1803459.7625,0
1610856000000,36174.3,36425.5,35376.9,35552.1,97.114,1610863199999,3484465.3608,1224,49.116,1762756.1499,0
1610863200000,35500.0,35722.5,34522.5,34741.4,198.361,1610870399999,6967403.5198,2621,89.059,3128969.7809,0
1610870400000,34745.8,35181.6,33945.0,34128.4,243.215,1610877599999,8402721.3425,3122,121.594,4201351.7624,0
1610877600000,34152.7,35365.1,33823.5,35268.0,195.277,1610884799999,6787081.0798,2619,103.809,3608230.4842,0
1610884800000,35268.0,35537.6,34761.1,34830.5,135.119,1610891999999,4760291.5835,1826,66.355,2337254.6947,0
1610892000000,34854.8,35982.7,34600.1,35708.9,162.328,1610899199999,5731778.6172,2154,80.741,2849707.3908,0
1610899200000,35716.2,36210.2,35585.3,35832.3,128.194,1610906399999,4598271.352,1609,66.084,2370671.5091,0
1610906400000,35820.2,35979.2,35500.0,35609.4,90.769,1610913599999,3248045.4785,1096,47.049,1683458.0939,0
1610913600000,35646.8,36858.7,35551.6,36529.0,108.345,1610920799999,3924649.5414,1426,57.318,2075740.4711,0
1610920800000,36548.3,36719.1,35642.4,35818.3,104.703,1610927999999,3793661.3698,1283,46.351,1680891.0538,0
1610928000000,35830.4,36141.0,35556.0,36111.4,74.145,1610935199999,2657897.4987,942,30.434,1090927.8106,0
1610935200000,36160.0,36197.2,34851.2,35072.7,93.033,1610942399999,3303481.9561,1155,52.304,1860939.1292,0
1610942400000,35100.8,35453.2,34704.7,35364.9,112.19,1610949599999,3934465.5775,1236,52.991,1859630.5193,0
1610949600000,35347.2,36265.3,35060.2,36088.1,99.362,1610956799999,3538059.4914,1339,44.22,1575090.7015,0
1610956800000,36092.0,36631.3,36029.8,36553.7,93.256,1610963999999,3389502.9243,1127,47.925,1742094.539,0
1610964000000,36571.5,36605.7,35773.1,36408.4,112.934,1610971199999,4081633.621,1411,59.114,2136949.2525,0
1610971200000,36407.6,37510.5,36349.1,36758.5,169.588,1610978399999,6279907.5146,1994,88.268,3270126.6822,0
1610978400000,36760.5,36999.8,35908.7,36421.6,136.904,1610985599999,4985788.7644,1810,59.672,2173867.766,0
1610985600000,36425.0,36570.6,35401.0,35661.2,120.348,1610992799999,4324462.1898,1662,43.932,1576908.0585,0
1610992800000,35679.5,36102.0,35547.3,35963.3,96.225,1610999999999,3447986.4643,1234,46.619,1670610.6709,0
1611000000000,35928.3,36402.4,35830.3,36212.8,81.069,1611007199999,2929142.223,1061,37.881,1368317.6301,0
1611007200000,36214.3,36787.0,36159.8,36632.1,77.376,1611014399999,2820407.7103,947,34.698,1265094.8093,0
1611014400000,36660.0,37324.3,36409.6,36938.8,124.197,1611021599999,4572440.8061,1555,55.959,2060153.3437,0
1611021600000,36953.6,37020.8,36482.7,36482.7,83.545,1611028799999,3069896.9453,990,42.956,1578189.6949,0
1611028800000,36515.1,36679.9,36244.0,36248.5,72.434,1611035999999,2639558.8697,840,38.168,1390209.4756,0
1611036000000,36242.8,37289.6,36169.0,37224.4,94.79,1611043199999,3476310.6231,1180,49.468,1814744.6841,0
1611043200000,37241.9,37638.6,37000.0,37080.2,115.74,1611050399999,4317364.4324,1461,60.392,2254713.7774,0
1611050400000,37091.1,37328.5,36729.6,37294.3,77.836,1611057599999,2885079.5266,1033,34.212,1268247.9627,0
1611057600000,37302.4,37495.0,36647.9,37109.0,84.967,1611064799999,3146123.0245,1088,36.393,1347603.1905,0
1611064800000,37111.6,37377.7,36853.3,37332.2,85.883,1611071999999,3187891.5438,1083,38.766,1439025.3772,0
1611072000000,37333.1,37874.8,37050.0,37199.5,140.124,1611079199999,5244823.2803,1717,71.33,2670083.5711,0
1611079200000,37173.9,37188.7,36047.1,36292.2,164.675,1611086399999,6034977.0406,2091,76.879,2817684.0052,0
1611086400000,36255.6,36767.7,36109.0,36487.0,123.554,1611093599999,4507375.0801,1535,66.736,2434361.9134,0
1611093600000,36466.7,36799.9,35839.9,35839.9,85.095,1611100799999,3098702.3796,1134,34.553,1259006.2646,0
1611100800000,35839.9,36410.1,35583.4,36118.4,129.44,1611107999999,4674372.4633,1623,56.078,2026498.3497,0
1611108000000,36126.1,36126.8,34940.6,35043.6,180.845,1611115199999,6438235.506,2468,83.386,2968427.9076,0
1611115200000,35039.9,35515.8,34757.5,35494.1,143.912,1611122399999,5072560.0129,2062,75.924,2675839.3733,0
1611122400000,35476.1,35877.1,35134.2,35737.7,104.828,1611129599999,3723440.5744,1317,58.314,2072940.4902,0
1611129600000,35684.7,35978.7,34501.9,34792.4,107.993,1611136799999,3812694.8433,1540,57.302,2019398.2836,0
1611136800000,34730.5,34995.2,33915.6,34377.4,157.02,1611143999999,5416259.4731,1923,88.578,3062427.8888,0
1611144000000,34383.9,34968.0,33964.8,34956.6,104.064,1611151199999,3596087.9991,1506,50.411,1743006.8857,0
1611151200000,34946.5,35149.0,34111.0,34231.4,95.049,1611158399999,3306368.3973,1315,47.944,1669271.1144,0
1611158400000,34230.5,35098.0,33358.1,34848.3,136.786,1611165599999,4690080.2344,2207,51.187,1754429.3173,0
1611165600000,34870.0,35369.6,34778.9,35225.3,90.226,1611172799999,3163499.3032,1109,34.643,1216665.1312,0
1611172800000,35278.4,35375.7,34516.7,34896.5,80.379,1611179999999,2807006.9834,1060,30.318,1059982.8989,0
1611180000000,34898.7,35678.7,34751.9,35514.4,74.765,1611187199999,2633663.5631,1073,32.122,1130717.1114,0
1611187200000,35523.1,35639.1,34680.0,34831.1,75.264,1611194399999,2644461.5215,986,59.631,2095013.1959,0
1611194400000,34841.8,34867.4,34259.1,34602.8,68.647,1611201599999,2374996.2927,967,34.862,1207580.6528,0
1611201600000,34618.7,34992.0,33970.1,34603.7,79.22,1611208799999,2733302.2042,1130,56.819,1963035.5897,0
1611208800000,34580.7,35039.8,34539.1,34661.8,78.457,1611215999999,2725398.3964,941,62.615,2175122.1217,0
1611216000000,34634.3,34695.8,32542.2,32864.0,143.093,1611223199999,4786947.1773,2136,67.181,2260899.0402,0
1611223200000,32850.0,33063.5,31983.0,32152.2,112.346,1611230399999,3664641.4403,1973,48.338,1578284.5609,0
