open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1610323200000,36060.5,40132.9,32346.7,35818.3,7892.467,1610927999999,286424162.4503,110811,3789.286,137446477.1616,0
1610928000000,35830.4,37874.8,28797.4,32274.9,8401.73,1611532799999,285240804.3801,114048,4239.344,144043184.0634,0
1611532800000,32290.6,38617.0,29263.5,33135.5,6897.267,1612137599999,227678286.576,103428,4133.063,136107428.7172,0
1612137600000,33095.2,41086.3,32335.4,38898.2,6406.055,1612742399999,237811868.7046,89696,2566.399,94688906.8365,0
1612742400000,38935.9,49896.7,38120.0,48704.2,8958.217,1613347199999,414615225.9991,128993,2774.692,127342128.6315,0
1613347200000,48730.1,58487.2,45905.0,57532.9,7816.363,1613951999999,410363910.5665,112805,2488.644,131935399.861,0
1613952000000,57553.5,57642.3,43049.5,45211.3,11562.895,1614556799999,562865591.0123,182997,5171.119,251549444.5332,0
1614556800000,45220.0,52711.7,44994.2,51033.8,8301.972,1615161599999,406696470.2509,144799,3760.586,184272836.4114,0
1615161600000,51073.1,61949.1,46150.1,59112.5,9024.334,1615766399999,508602252.8185,143901,4146.764,234244830.4538,0
1615766400000,59060.3,60717.6,53333.6,57464.7,9601.885,1616371199999,549538434.1112,167463,4622.257,264842524.5647,0
1616371200000,57500.0,58531.6,44360.0,55848.3,8617.242,1616975999999,469474865.3841,157098,4076.364,222549331.2967,0
1616976000000,55856.3,60354.6,54980.0,58271.0,7097.562,1617580799999,415000220.0591,114623,3476.398,203205755.455,0
1617580800000,58266.1,61634.2,55510.6,60056.8,6037.491,1618185599999,353038145.0861,95062,2729.741,159612578.7579,0
1618185600000,60089.1,65066.9,48500.0,56314.8,8780.114,1618790399999,532001832.8254,149029,3949.08,239483157.9906,0
1618790400000,56307.9,57650.7,46952.0,49125.0,8109.074,1619395199999,426103571.5697,148317,3520.955,184870609.392,0
1619395200000,49181.0,58570.0,48875.1,56677.9,6295.697,1619999999999,346651235.7718,100750,2626.243,144362733.2234,0
1620000000000,56659.8,59606.3,53000.0,58330.9,6638.676,1620604799999,379208351.4203,115266,2924.477,167104450.4928,0
1620604800000,58378.7,59657.7,43875.8,46474.1,11260.102,1621209599999,577788174.0178,217956,4988.801,255354997.5075,0
1621209600000,46469.7,46684.1,28138.3,34696.4,24837.814,1621814399999,960556074.7385,410084,12486.264,482145257.6442,0
1621814400000,34715.3,45038.2,33378.7,35649.2,16379.118,1622419199999,608792578.0547,293889,8357.064,309974231.4704,0
1622419200000,35645.7,39450.4,34187.5,35806.2,11654.466,1623023999999,428602240.5524,219185,5710.476,209867144.1926,0
1623024000000,35810.5,39292.6,30986.8,38995.3,43578.079,1623628799999,1566360611.8894,1043270,22716.688,816841981.8855,0
1623628800000,39004.8,41318.3,33324.9,35579.0,53131.531,1624233599999,2009591121.6602,1597684,26766.105,1012393863.444,0
1624233600000,35578.9,35717.1,28803.0,34688.4,95066.746,1624838399999,3102102275.9183,2816166,47805.699,1560312533.632,0
1624838400000,34689.9,36599.9,32697.2,35278.3,74358.907,1625443199999,2560545731.6618,2209437,37592.064,1294531119.0768,0
1625443200000,35278.4,35281.4,32083.6,34241.8,63691.894,1626047999999,2148221633.0959,1668417,32059.225,1081411694.7038,0
1626048000000,34244.1,34643.6,31026.3,31767.3,63772.155,1626652799999,2055930300.5449,1587324,31910.442,1028705212.4679,0
1626652800000,31767.4,35412.0,29242.4,35383.8,101167.762,1627257599999,3262797168.5909,1948104,51016.687,1645606106.6703,0
1627257600000,35378.3,42478.4,35201.3,41153.4,136433.641,1627862399999,5349350334.0994,2351263,68190.97,2673791849.5019,0
