open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1610409600000,36060.5,36615.1,35714.0,36433.4,44.903,1610438399999,1613561.7826,342,28.416,1019287.8692,0
1610438400000,36453.3,36496.1,32520.4,33796.1,273.619,1610467199999,9511253.6978,3079,129.881,4518485.6335,0
1610467200000,33798.1,35506.6,33272.8,34021.1,278.401,1610495999999,9575618.2084,3385,144.776,4979810.9748,0
1610496000000,33877.8,35116.0,32346.7,34938.4,260.609,1610524799999,8709436.2101,3377,118.911,3978364.6187,0
1610524800000,34951.6,35241.3,33932.5,34605.3,260.17,1610553599999,8994437.7338,3357,120.581,4168846.1469,0
1610553600000,34652.4,37763.5,34396.9,37355.7,274.68,1610582399999,9894581.1888,3670,128.75,4632906.62,0
1610582400000,37451.4,38534.1,36615.4,38212.5,261.999,1610611199999,9859503.8241,3363,132.677,4993520.5564,0
1610611200000,38216.9,40132.9,37693.5,39486.4,300.003,1610639999999,11608353.498,4144,136.747,5288286.2666,0
1610640000000,39510.0,39955.0,38226.0,39091.6,306.726,1610668799999,12016709.2959,4561,132.112,5172413.547,0
1610668800000,39164.4,39703.3,37536.2,38409.9,422.014,1610697599999,16287965.9519,6659,201.468,7771650.733,0
1610697600000,38415.2,38790.0,34993.3,35530.4,660.906,1610726399999,24671903.1824,10293,322.536,12048337.162,0
1610726400000,35530.4,36937.4,34362.0,36737.6,1199.786,1610755199999,42749097.7007,21103,581.664,20735347.3208,0
1610755200000,36739.0,37632.5,35522.9,36567.0,586.154,1610783999999,21434297.8039,7333,276.989,10136013.6036,0
1610784000000,36581.3,38149.1,36395.4,37452.7,533.071,1610812799999,19894169.6144,7186,245.643,9173673.3145,0
1610812800000,37474.0,37719.0,35299.7,35975.0,528.849,1610841599999,19311827.0588,7059,233.049,8503028.1794,0
1610841600000,35990.6,36769.8,34522.5,34741.4,532.627,1610870399999,19044945.334,6765,265.785,9519199.1552,0
1610870400000,34745.8,35982.7,33823.5,35708.9,735.939,1610899199999,25681872.623,9721,372.499,12996544.3321,0
1610899200000,35716.2,36858.7,35500.0,35818.3,432.011,1610927999999,15564627.7417,5414,216.802,7810761.1279,0
1610928000000,35830.4,36265.3,34704.7,36088.1,378.73,1610956799999,13433904.5237,4672,179.949,6386588.1606,0
1610956800000,36092.0,37510.5,35773.1,36421.6,512.682,1610985599999,18736832.8243,6342,254.979,9323038.2397,0
1610985600000,36425.0,36787.0,35401.0,36632.1,375.018,1611014399999,13521998.5874,4904,163.13,5880931.1688,0
1611014400000,36660.0,37324.3,36169.0,37224.4,374.966,1611043199999,13758207.2442,4565,186.551,6843297.1983,0
1611043200000,37241.9,37638.6,36647.9,37332.2,364.426,1611071999999,13536458.5273,4665,169.763,6309590.3078,0
1611072000000,37333.1,37874.8,35839.9,35839.9,513.448,1611100799999,18885877.7806,6477,249.498,9181135.7543,0
1611100800000,35839.9,36410.1,34757.5,35737.7,559.025,1611129599999,19908608.5566,7470,273.702,9743706.1208,0
1611129600000,35684.7,35978.7,33915.6,34231.4,464.126,1611158399999,16131410.7128,6284,244.235,8494104.1725,0
1611158400000,34230.5,35678.7,33358.1,35514.4,382.156,1611187199999,13294250.0841,5449,148.27,5161794.4588,0
1611187200000,35523.1,35639.1,33970.1,34661.8,301.588,1611215999999,10478158.4148,4024,213.927,7440751.5601,0
